거래코드,거래처코드,발행구분,거래구분,사업자번호,상호,성명,사업장주소,업태,종목,발행일자,거래내용,공급가액,세액,합계금액,결제유형,작성자,수정일자,최근사용자,transaction_contents,currency
7D9356A0C7E48E459672F6C3E5726A82,F7EA91ADCC9B334991E54167E7C45F48,발행,,119-86-65941,초이스테크닉스㈜ CHOIS TECHNICS CORP.,최연성,"서울특별시 금천구 가산디지털1로 70, 1002,1001,609호(가산동,호서대벤처타워)","제조업, 도매업, 도소매업","케이블하니스, 연결기, 전장품, 무역업",2024-03-06 0:00,SOLIDWORKS Pro & workstation 구매,13900000,1390000,15290000,현금,ksllkd,2024-03-06 0:00,ksllkd,,KRW
9FA2EE7401BDEE418CE6968DCABE1AAB,8CD9DAE84EE24B47BD588AC0B9417FFA,발행,,429-87-02286,셀로이드 주식회사,"김동성,민병혁","경상북도 포항시 남구 청암로 87,6층 626호(지곡동, 체인지업 그라운드)",서비스업,의료기기 및 의료용품 개발,2024-02-23 0:00,3DEXPERIENCE SOLIDWORKS Premium 1년 기간제,5700000,570000,6270000,현금,pshcan,2024-03-06 0:00,ksllkd,,KRW
CA6797D1C6576947AC318CDA6356F399,4D4D478F715B554D9DDB6B26978390F3,발행,,621-81-11977,㈜퓨트로닉,"고진호, 안중기",부산광역시 해운대구 반송로513번길 66-21(석대동),제조업,"전자정보통신기기, 자동차전장품",2024-02-26 0:00,SOLIDWORKS Subscription Service 외외,13600000,1360000,14960000,현금,ksllkd,2024-03-06 0:00,ksllkd,,KRW
7C42CE5D32E0814AAA69867121C7DF10,B0B287977A820D4283A0EFDD65ECA4D6,발행,,314-81-37934,㈜동양정공,최종진,전북 완주군 봉동읍 둔산리 870-10,"제조,도매",무기및총포탄외,2024-02-27 0:00,SOLIDWORKS Network 변경,15000000,1500000,16500000,현금,ksllkd,2024-03-05 0:00,minwooko,,KRW
F1BD705C9E9A4745ACB13829E976DF5A,ECEB1B17A35DD84D86793E8CB16D9BEA,,,137-03-75731,동성유공압㈜,김현근,경기도 김포시 양촌읍 황금3로7번길 48,"제조,도소매,부동산업","유압기계,유압기계부품,전대",2024-03-05 0:00,SOLIDWORKS 유지보수 및 업그레이드,8500000,850000,9350000,현금,ksllkd,2024-03-05 0:00,ksllkd,,KRW
4B4515AE208CA349A6CAED66D6C7B965,70581AB31463CF41AB1B9B2D6CEBC448,,,632-81-00126,㈜휴텍,"이윤수,정백진",경기도 화성시 정남면 정남산단1길 19,제조업 외,그 외 기타 특수 목적용 기계 제조업 외,2024-02-29 0:00,SOLIDWORKS Professional with Cloud Services,10500000,1050000,11550000,현금,ksllkd,2024-03-04 0:00,ksllkd,,KRW
649B4F4CA6A58C42A505DD749CE8E74D,D22734885ED99041A906F28E0A982FFC,,,324-09-02474,커넥트비,김지홍,"경기도 안산시 단원구 풍전로 37-9, 313동 217호(원곡동, 트리플렉스에이단지)",정보통신업,시스템 소프트웨어 개발 및 공급업,2024-02-29 0:00,SOLIDWORKS Premium,14000000,1400000,15400000,현금,ksllkd,2024-03-04 0:00,ksllkd,,KRW
76003A077AFBEE48AC7A0801DD571893,9638369E50B1ED4BB7B08CA1CFE7FE29,,,207-82-02115,건국대학교병원,유광하,서울특별시 광진구 능동로 120-1(화양동),보건업 외,종합병원 외,2024-03-04 0:00,CD영상등록기,510000,51000,561000,현금,ksllkd,2024-03-04 0:00,ksllkd,,KRW
1372E78F9F19D544A1550D8A66F986E5,F8BEA8A4C194C542846325454FF504F1,,,405-81-02181,㈜에이치알이앤아이_구)호룡,김동열,전라북도 김제시 만경읍 만경공단2길 73,제조 외,물품취급장비 외,2024-02-28 0:00,NAS,6950000,695000,7645000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
24BCDF8E44F56847AEF5E70A672E5839,0AEF2B27C100784E9D65C7F01E0B3334,,,792-12-00077,에이치에스산업,김호빈,경상남도 함안군 칠북면 덕남길 41,"제조업,전기업",철구조물부분품 외,2024-02-28 0:00,SOLIDWORKS,10000000,1000000,11000000,현금,ksllkd,2024-02-29 0:00,ksllkd,,KRW
