거래코드,월일,품목,규격,단위,수량,단가,공급가액,세액,합계금액,비고,순번,거래처코드,거래처명,전표번호,구분,날짜
1372E78F9F19D544A1550D8A66F986E5,2.28,NAS,,,1,0,6950000,695000,7645000,,1,F8BEA8A4C194C542846325454FF504F1,㈜에이치알이앤아이_구)호룡,,매출,2024-02-28 0:00
F01AA26D809F5D40B731176840167B4E,2.27,SOLIDWORKS Premium Subscription,,,2,0,3800000,380000,4180000,,1,800DB4A14F3B944FBC630A8E0D2036B7,㈜에노스,,매출,2024-02-27 0:00
A8BE9D06E683FA44A11749F76CBB608E,2.27,SOLIDWORKS Subscription Service,,,1,0,2355000,235500,2590500,,1,10131C48C8F6E945872853BA98E9CBAC,㈜사라콤,,매출,2024-02-27 0:00
635EE939A8C57945ACBB8617D1397FAA,2.27,SOLIDWORKS Professional 유지보수,,,1,1800000,1800000,180000,1980000,,1,EB98F676ACC3C14AABE4D88B95687122,주식회사 세종시스템,,매출,2024-02-27 0:00
7F784333AA578544BBB1B587FF1C6A4B,2.27,Draftsight 유지보수,,,0,0,2900000,290000,3190000,,1,9527034DBBAD034EA38B8CA366C2A57C,㈜디제이에프,,매출,2024-02-27 0:00
B3657D10185F804CA3F647F92F67AA98,2.27,포스코홀딩스_Solidworks professional 구매 件,,,0,0,6400000,640000,7040000,,1,A32D87328245B045B35CDCC13AEEFBE7,㈜엔투비,,매출,2024-02-27 0:00
8D27A18B252CF4439FE31A3337EFBAC2,2.27,SOLIDWORKS Professional,,,1,0,10500000,1050000,11550000,,1,B31A9CC23E373B488D068C8371720DE1,㈜인텔릭스,,매출,2024-02-27 0:00
7B44082A4640D84BA10507E41B4DE902,2.27,GstarCAD,,,1,1200000,1200000,120000,1320000,,1,B39EB2FE537C9948A8840BD699F26C73,한국엠엔씨 ㈜,,매출,2024-02-27 0:00
7C42CE5D32E0814AAA69867121C7DF10,2.27,SOLIDWORKS Network 변경,,,1,15000000,15000000,1500000,16500000,,1,B0B287977A820D4283A0EFDD65ECA4D6,㈜동양정공,,매출,2024-02-27 0:00
F8309B2DBC2817459B655E3B1A5F1A37,2.27,SOLIDWORKS Premium,,,1,0,14500000,1450000,15950000,,1,383EA0DF51E1564DAE90E230702B363B,주식회사 한땀소프트,,매출,2024-02-27 0:00
3266897A43CA564DB703CE1C689DBE30,2.27,ZWCAD,,,1,1200000,1200000,120000,1320000,,1,BF536034C0DF58419A21FBC8C89DC211,주식회사 영광와이케이엠씨,,매출,2024-02-27 0:00
360101709B90F64882A82F4498EC800E,2.26,SOLIDWORKS Premium Subscription 외,,,1,0,3200000,320000,3520000,,1,3A36B1384ECD7449802DDE81B6E0AB01,㈜아이닉스디,,매출,2024-02-26 0:00
380FF9DE7CD1DF4A823EBF77AC815737,2.26,SOLIDWORKS Premium with Cloud Services,,,1,0,21266640,2126664,23393304,,1,70581AB31463CF41AB1B9B2D6CEBC448,㈜휴텍,,매출,2024-02-26 0:00
C4BEB4E5422E7F468F16228860B18181,2.26,ZWCAD 3D Standard,,,1,0,5300000,530000,5830000,,1,9159C1C26E086E4EAE70D61ED5CF3B66,오원테크,,매출,2024-02-26 0:00
25E032321D006941AAF5FC07F8009BF4,2.26,SOLIDWORKS Subscription Service,,,1,0,18910000,1891000,20801000,,1,2FAB5A44B876734BA5940F24BF7BAD39,㈜큐브릿지,,매출,2024-02-26 0:00
20200C5D601A2D408974EB79BC5063E9,2.26,SOLIDWORKS 라이선스 구매,,,1,0,11500000,1150000,12650000,,1,6E31F3B0D818C1428ECC13981815B898,㈜ 에이치원,,매출,2024-02-26 0:00
A18DB1E9C965D44CB8B8DD05C508DCBD,2.26,SOLIDWORKS 라이선스 구매 외 1,,,1,0,14500000,1450000,15950000,,1,6B06B8AB3AC9CA4DAE1CE3E2F3C70FF3,주식회사 유니오텍,,매출,2024-02-26 0:00
45067ABBEAA2EB40873C98C88F3D4CEC,2.26,SOLIDWORKS Professional Subscription Service,,,4,0,4800000,480000,5280000,,1,01D103CBA4C3C54CB00E7EF6CF0DDB6B,주식회사 하비스트,,매출,2024-02-26 0:00
A8D8A32FE89954448A34FDAE81AE212C,2.26,SPEEDWORKS 구독 (2024년 3월 1일 ~ 2025년 2월 28일),,,3,0,1200000,120000,1320000,,1,E0DB3E7E1861E6469F9F7E267822584D,㈜씨엔씨엔지니어링,,매출,2024-02-26 0:00
2C0D861FFE4699469D491F0F0A44C199,2.26,SOLIDWORKS Subscription Service 외,,,1,0,10000000,1000000,11000000,,1,4D4D478F715B554D9DDB6B26978390F3,㈜퓨트로닉,,매출,2024-02-26 0:00
2C0D861FFE4699469D491F0F0A44C199,,유지보수기간(2024.01.02~2024.12.31),,,0,0,0,0,0,,2,4D4D478F715B554D9DDB6B26978390F3,㈜퓨트로닉,,매출,2024-02-26 0:00
8FB50FF178D1C549AE696065AB02288C,2.26,SOLIDWORKS Professional Network with Cloud Services,,,3,16000000,48000000,4800000,52800000,,1,9C172953F9740048BD99DAC28780DC67,엘아이지넥스원 주식회사,,매출,2024-02-26 0:00
CA6797D1C6576947AC318CDA6356F399,2.26,SOLIDWORKS Subscription Service 외,,,1,0,13600000,1360000,14960000,,1,4D4D478F715B554D9DDB6B26978390F3,㈜퓨트로닉,,매출,2024-02-26 0:00
CA6797D1C6576947AC318CDA6356F399,,유지보수기간(2024.05.01~2025.04.30),,,0,0,0,0,0,,2,4D4D478F715B554D9DDB6B26978390F3,㈜퓨트로닉,,매출,2024-02-26 0:00
B442F225BBF1324FBBE524DCE430FE8C,2.25,CD영상등록기 유지보수,,,0,0,477273,47727,525000,,1,BF47E40B55BFBF46878A8C72736BED43,(의) 대진의료재단분당제생병원,,매출,2024-02-25 0:00
02752048DF68B9418F3604F1DA387B91,2.23,SOLIDWORKS Professional Subscription Service,,,3,1800000,5400000,540000,5940000,,1,A581FF36A648894584EFCFBC0F238F5F,주식회사 브이텐시스템,,매출,2024-02-23 0:00
9FA2EE7401BDEE418CE6968DCABE1AAB,2.23,3DEXPERIENCE SOLIDWORKS Premium 1년 기간제,,,2,2850000,5700000,570000,6270000,,1,8CD9DAE84EE24B47BD588AC0B9417FFA,셀로이드 주식회사,,매출,2024-02-23 0:00
B025FB3539A71B4DB0D8A79E51154200,2.22,CD영상등록기 유지보수,,,8,0,1200000,120000,1320000,,1,789E4C45B907B444A854B14D60937342,(학)가톨릭대학교 서울성모병원,,매출,2024-02-22 0:00
